timestamp_ms,connection,transaction_id,opcode,opcode_name,phase,start_data_present,declared_size,data_packet_count,end_data_present,response_code,payload_bytes,duration_ms
100,conn-04,0x00000000,0x0001,InitCommandRequest,handshake,false,0,0,false,0x0002,0,12.4
250,conn-05,0x00000000,0x0003,InitEventRequest,handshake,false,0,0,false,0x0004,0,8.1
320,conn-04,0x00000001,0x1002,OpenSession,session-open,false,0,0,false,0x2001,0,15.2
380,conn-04,0x00000002,0x1014,GetDevicePropDesc(0xD001),pre-liveview,true,128,1,true,0x2001,128,18.5
450,conn-04,0x00000003,0x9153,CanonCheckEvent,pre-liveview,true,64,1,true,0x2001,64,10.3
520,conn-04,0x00000004,0x9051,CanonStartLiveView,pre-liveview,false,0,0,false,0x2001,0,45.0
600,conn-04,0x00000005,0x9052,CanonGetLiveViewPicture,liveview-active,true,36137,25,true,0x2001,36137,50.0
675,conn-04,0x00000006,0x9052,CanonGetLiveViewPicture,liveview-active,true,37474,26,true,0x2001,37474,52.0
750,conn-04,0x00000007,0x9052,CanonGetLiveViewPicture,liveview-active,true,38811,27,true,0x2001,38811,54.0
825,conn-04,0x00000008,0x9052,CanonGetLiveViewPicture,liveview-active,true,40148,28,true,0x2001,40148,56.0
900,conn-04,0x00000009,0x9052,CanonGetLiveViewPicture,liveview-active,true,35085,25,true,0x2001,35085,58.0
925,conn-04,0x00000069,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
975,conn-04,0x0000000A,0x9052,CanonGetLiveViewPicture,liveview-active,true,36422,26,true,0x2001,36422,60.0
1050,conn-04,0x0000000B,0x9052,CanonGetLiveViewPicture,liveview-active,true,37759,27,true,0x2001,37759,62.0
1125,conn-04,0x0000000C,0x9052,CanonGetLiveViewPicture,liveview-active,true,39096,27,true,0x2001,39096,49.0
1200,conn-04,0x0000000D,0x9052,CanonGetLiveViewPicture,liveview-active,true,40433,28,true,0x2001,40433,51.0
1275,conn-04,0x0000000E,0x9052,CanonGetLiveViewPicture,liveview-active,true,35370,25,true,0x2001,35370,53.0
1300,conn-04,0x0000006E,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
1350,conn-04,0x0000000F,0x9052,CanonGetLiveViewPicture,liveview-active,true,36707,26,true,0x2001,36707,55.0
1425,conn-04,0x00000010,0x9052,CanonGetLiveViewPicture,liveview-active,true,38044,27,true,0x2001,38044,57.0
1500,conn-04,0x00000011,0x9052,CanonGetLiveViewPicture,liveview-active,true,39381,28,true,0x2001,39381,59.0
1575,conn-04,0x00000012,0x9052,CanonGetLiveViewPicture,liveview-active,true,40718,29,true,0x2001,40718,61.0
1650,conn-04,0x00000013,0x9052,CanonGetLiveViewPicture,liveview-active,true,35655,25,true,0x2001,35655,48.0
1675,conn-04,0x00000073,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
1725,conn-04,0x00000014,0x9052,CanonGetLiveViewPicture,liveview-active,true,36992,26,true,0x2001,36992,50.0
1800,conn-04,0x00000015,0x9052,CanonGetLiveViewPicture,liveview-active,true,38329,27,true,0x2001,38329,52.0
1875,conn-04,0x00000016,0x9052,CanonGetLiveViewPicture,liveview-active,true,39666,28,true,0x2001,39666,54.0
1950,conn-04,0x00000017,0x9052,CanonGetLiveViewPicture,liveview-active,true,41003,29,true,0x2001,41003,56.0
2025,conn-04,0x00000018,0x9052,CanonGetLiveViewPicture,liveview-active,true,35940,25,true,0x2001,35940,58.0
2050,conn-04,0x00000078,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
2100,conn-04,0x00000019,0x9052,CanonGetLiveViewPicture,liveview-active,true,37277,26,true,0x2001,37277,60.0
2175,conn-04,0x0000001A,0x9052,CanonGetLiveViewPicture,liveview-active,true,38614,27,true,0x2001,38614,62.0
2250,conn-04,0x0000001B,0x9052,CanonGetLiveViewPicture,liveview-active,true,39951,28,true,0x2001,39951,49.0
2325,conn-04,0x0000001C,0x9052,CanonGetLiveViewPicture,liveview-active,true,34888,25,true,0x2001,34888,51.0
2400,conn-04,0x0000001D,0x9052,CanonGetLiveViewPicture,liveview-active,true,36225,25,true,0x2001,36225,53.0
2425,conn-04,0x0000007D,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
2475,conn-04,0x0000001E,0x9052,CanonGetLiveViewPicture,liveview-active,true,37562,26,true,0x2001,37562,55.0
